player_id,fotmob_player_id,fotmob_player_name,Club,nationality,position,expiry_rows,post_contract_rows,expiry_mean_rating,post_contract_mean_rating,expiry_weighted_rating,post_contract_weighted_rating,expiry_minutes,post_contract_minutes,mercenary_index_mean,mercenary_index_weighted,reliability_flag
217115,391064,Neal Maupay,Olympique Marseille,France,Attack,3,4,2.5833333333333335,4.2875,4.133333333333334,5.198040752351098,119,409,-1.7041666666666662,-1.064707419017764,FALSE
187587,265725,Ante Rebic,US Lecce,Croatia,Attack,6,7,4.2875,6.635714285714286,5.414680704576677,6.520694456091609,858,1636,-2.3482142857142865,-1.106013751514932,TRUE
306024,612150,Dominic Calvert-Lewin,Everton FC,England,Attack,1,6,3.075,6.4921428571428565,5.56451612903226,6.68062947302767,31,1904,-3.4171428571428564,-1.1161133439954103,FALSE
123275,182962,Tom Cairney,Fulham FC,Scotland,Midfield,5,7,3.57,3.5616666666666674,5.079880866475092,6.2110856186775,458,780,0.008333333333332416,-1.1312047522024082,TRUE
331726,749661,Tammy Abraham,AC Milan,England,Attack,2,1,4.483333333333335,5.14,5.265655193702735,6.43305785123967,364,121,-0.6566666666666645,-1.1674026575369343,FALSE
342048,654091,Grady Diangana,Democratic Republic of the Congo,England,Attack,3,4,4.122222222222224,4.664583333333333,5.006491557223266,6.181706214088106,243,455,-0.5423611111111093,-1.1752146568648394,TRUE
591363,1203490,Daan Rots,Twente Enschede FC,Netherlands,Attack,1,10,5.9,7.0553333333333335,5.9,7.178675397645981,75,2855,-1.155333333333333,-1.2786753976459808,FALSE
399383,683476,Mathieu Cafaro,AS Saint-Étienne,France,Midfield,3,5,5.058333333333334,2.911666666666666,5.10179856115108,6.400163460860988,343,272,2.1466666666666674,-1.2983648997099078,TRUE
396429,1014983,Diogo Calila,CD Santa Clara,Portugal,Defense,3,6,4.45,3.5949999999999998,4.552272727272727,5.970695364385457,272,924,0.8550000000000004,-1.4184226371127302,TRUE
286384,574200,Eric Bailly,Villarreal CF,Cote d'Ivoire,Defense,1,4,1.4,5.310416666666668,5.45263157894737,6.8825,38,624,-3.9104166666666678,-1.42986842105263,FALSE
453737,1257828,Marcel Lotka,Borussia Dortmund II,Poland,Goalkeeper,3,1,5.93,5.46666666666667,6.76111111111111,8.2,540,180,0.4633333333333294,-1.438888888888889,FALSE
417955,719581,Zak Vyner,Bristol City,England,Defense,2,1,4.383333333333335,6.8,5.38127906976744,6.88431876606684,407,389,-2.416666666666665,-1.5030396962993997,FALSE
92572,146830,Joel Ward,Crystal Palace,England,Defense,4,2,1.9433333333333325,2.8200000000000003,4.707227272727272,6.2144545454545455,163,91,-0.8766666666666678,-1.507227272727273,FALSE
268178,566118,Arkadiusz Reca,Spezia Calcio,Poland,Defense,2,5,4.016666666666665,5.314,5.3964285714285705,6.904902764047054,73,899,-1.2973333333333352,-1.5084741926184835,FALSE
366045,865019,Ablie Jallow,The Gambia,The Gambia,Attack,3,3,5.575,4.766666666666667,5.3565490910668565,6.879153132796687,362,272,0.8083333333333336,-1.5226040417298305,TRUE
801425,1122563,Sam Bell,Bristol City,England,Attack,6,7,2.29420634920635,5.089591836734694,4.95966430459331,6.493870357090104,407,1985,-2.7953854875283444,-1.5342060524967946,TRUE
235931,449283,Alessandro Deiola,Cagliari Calcio,Italy,Midfield,1,7,2.03333333333333,6.093333333333333,5.06022727272727,6.62354982238554,88,1480,-4.060000000000002,-1.5633225496582694,FALSE
671590,1230286,Daouda Guindo,Red Bull Salzburg,Mali,Defense,4,6,4.895833333333332,5.855555555555555,4.97383693235948,6.567673834750968,750,1266,-0.959722222222223,-1.5938369023914882,TRUE
466809,1054033,Konrad de la Fuente,FC Lausanne-Sport,United States,Attack,2,6,2.243333333333335,4.658333333333333,4.63203427307905,6.258030426299594,121,817,-2.4149999999999983,-1.6259961532205436,FALSE
526566,1052861,Darko Nejasmic,Sharjah FC,Croatia,Midfield,3,6,3.5566666666666666,7.170833333333333,5.92218309859155,7.549655371801995,265,1820,-3.6141666666666667,-1.6274722732104454,TRUE
539436,1280680,Kristian Bilovar,Dynamo Kyiv,Ukraine,Defense,2,3,0,1.1,0,1.65,729,474,-1.1,-1.65,TRUE
91945,178899,Ertugrul Taskiran,Alanyaspor,Turkey,Goalkeeper,2,8,4.65,6.751041666666667,5.383333333333335,7.11875,360,2430,-2.1010416666666663,-1.7354166666666657,TRUE
614742,967759,Drissa Camara,Parma Calcio 1913,Cote d'Ivoire,Midfield,3,6,1.575,5.6375,4.14625850340136,5.932120353298742,63,1433,-4.0625,-1.7858618498973815,FALSE
537854,1116325,Artem Bondarenko,Shakhtar Donetsk,Ukraine,Midfield,3,7,0,1.9326020408163271,0,1.9212242244038413,878,1743,-1.9326020408163271,-1.9212242244038413,TRUE
368611,629559,Mykola Shaparenko,Ukraine,Ukraine,Midfield,2,8,0,1.7206249999999998,0,1.939424453599814,544,1514,-1.7206249999999998,-1.939424453599814,TRUE
3333,38807,James Milner,Brighton & Hove Albion,England,Midfield,4,7,2.55375,4.072380952380953,4.172568917871468,6.156767361870411,437,887,-1.5186309523809527,-1.9841984439989435,TRUE
