model_name,sample_name,outcome_name,spec_name,term,estimate,std_error,t_value,p_value,nobs
expiry_selection,source_league_full,Matches_tm,player_month,expiry_bin_6m::48+,0.15107302991442428,0.03646805487194508,4.142612772874951,3.468239445353617e-5,231753
bosman_selection,source_league_full,played_fotmob,player_month,BosmanTRUE,0.0018357618831855752,0.0036464769797730674,0.5034343815602041,0.6146729725037204,164071
expiry_selection,source_league_full,played_fotmob,player_month,expiry_bin_6m::0:6,-6.878782752831801e-4,0.004951683024838063,-0.13891807529535397,0.8895184364422741,164071
expiry_selection,source_league_full,played_fotmob,player_month,expiry_bin_6m::6:12,-0.008759597394706619,0.004856872520860296,-1.803546903297152,0.07134053580875704,164071
expiry_selection,source_league_full,played_fotmob,player_month,expiry_bin_6m::12:18,0.005334576196199616,0.0038932546995089495,1.3702099163644388,0.17066040844369768,164071
expiry_selection,source_league_full,played_fotmob,player_month,expiry_bin_6m::18:24,-0.007861565835790781,0.0041883154754279684,-1.877023324033984,0.060551804815268125,164071
expiry_selection,source_league_full,played_fotmob,player_month,expiry_bin_6m::30:36,-0.007594078002740887,0.0037068034289351754,-2.0486864621581455,0.04052583008966367,164071
expiry_selection,source_league_full,played_fotmob,player_month,expiry_bin_6m::36:48,-0.006410483849977425,0.0040350443759618925,-1.5887021932563665,0.11216775210059843,164071
expiry_selection,source_league_full,played_fotmob,player_month,expiry_bin_6m::48+,-0.02532118409107348,0.005301113760175992,-4.776578137465369,1.8152383396961406e-6,164071
bosman_selection,source_league_full,fotmob_minutes,player_month,BosmanTRUE,8.144477866543129,1.7409578003942678,4.67815926652483,2.942853129190683e-6,164071
expiry_selection,source_league_full,fotmob_minutes,player_month,expiry_bin_6m::0:6,5.5942262248126395,2.4198737878750953,2.311784297529402,0.020815226890902625,164071
expiry_selection,source_league_full,fotmob_minutes,player_month,expiry_bin_6m::6:12,-4.184941377002075,2.305296223506585,-1.815359490172748,0.06950666739607854,164071
expiry_selection,source_league_full,fotmob_minutes,player_month,expiry_bin_6m::12:18,4.195697285359369,1.9267744182055015,2.177575768971972,0.029467191140259814,164071
expiry_selection,source_league_full,fotmob_minutes,player_month,expiry_bin_6m::18:24,-3.8524047211952155,1.9379072232816088,-1.987920100050837,0.04685506593223523,164071
expiry_selection,source_league_full,fotmob_minutes,player_month,expiry_bin_6m::30:36,-8.045382309731693,1.6873700725969685,-4.768001068875984,1.8940018223778642e-6,164071
expiry_selection,source_league_full,fotmob_minutes,player_month,expiry_bin_6m::36:48,-10.127248178910161,2.013728634894105,-5.029102731829961,5.036528680216496e-7,164071
expiry_selection,source_league_full,fotmob_minutes,player_month,expiry_bin_6m::48+,-24.916832676415346,2.78326851537793,-8.952363934254464,4.281383786919309e-19,164071
bosman_selection,source_league_full,played_any,player_leaguemonth,BosmanTRUE,-0.0029576669521853903,0.0036632672074257463,-0.807384988512428,0.4194681628196124,231753
expiry_selection,source_league_full,played_any,player_leaguemonth,expiry_bin_6m::0:6,0.010322827146521897,0.004859200372427637,2.1243880382246214,0.033667585599824294,231753
expiry_selection,source_league_full,played_any,player_leaguemonth,expiry_bin_6m::6:12,0.04077829466981207,0.005180175182238811,7.871991435661866,3.9369376507286e-15,231753
expiry_selection,source_league_full,played_any,player_leaguemonth,expiry_bin_6m::12:18,0.009320087484659434,0.0038127386057991,2.444460123881497,0.01452785159107401,231753
expiry_selection,source_league_full,played_any,player_leaguemonth,expiry_bin_6m::18:24,0.03160092785259305,0.004540244324248839,6.960182227158286,3.6603961288885666e-12,231753
expiry_selection,source_league_full,played_any,player_leaguemonth,expiry_bin_6m::30:36,0.0265185370550822,0.004133023786052691,6.416255610377007,1.4742362468880288e-10,231753
expiry_selection,source_league_full,played_any,player_leaguemonth,expiry_bin_6m::36:48,0.007291813119528252,0.004060388059860234,1.7958414348650336,0.07255658931611794,231753
expiry_selection,source_league_full,played_any,player_leaguemonth,expiry_bin_6m::48+,-0.001126368105942994,0.005397528671808327,-0.20868219039318753,0.8347015342561852,231753
bosman_selection,source_league_full,minutes_any,player_leaguemonth,BosmanTRUE,4.858754862187329,1.54917091518913,3.1363581736196937,0.0017166602913727645,231753
expiry_selection,source_league_full,minutes_any,player_leaguemonth,expiry_bin_6m::0:6,7.522700250442935,2.1809891255058416,3.449214928432153,5.65051232641084e-4,231753
expiry_selection,source_league_full,minutes_any,player_leaguemonth,expiry_bin_6m::6:12,8.056059341865067,2.201910184409156,3.658668459279945,2.551216715498535e-4,231753
expiry_selection,source_league_full,minutes_any,player_leaguemonth,expiry_bin_6m::12:18,3.8314416014298978,1.7412310088618022,2.2004211858910163,0.027804846703988077,231753
expiry_selection,source_league_full,minutes_any,player_leaguemonth,expiry_bin_6m::18:24,6.04218673742422,1.8831092704652155,3.2086224799538687,0.0013388625031318883,231753
expiry_selection,source_league_full,minutes_any,player_leaguemonth,expiry_bin_6m::30:36,2.7755054762946227,1.7324379306354658,1.6020807598437625,0.10917632160824604,231753
expiry_selection,source_league_full,minutes_any,player_leaguemonth,expiry_bin_6m::36:48,-3.539315625648284,1.91254014009136,-1.8505837087838664,0.06426545600193886,231753
expiry_selection,source_league_full,minutes_any,player_leaguemonth,expiry_bin_6m::48+,-10.132196826544485,2.7185188673398937,-3.7271018966511615,1.9499877093936076e-4,231753
bosman_selection,source_league_full,played_tm,player_leaguemonth,BosmanTRUE,0.03435378729029932,0.004762135515678727,7.213945755469124,5.920345182162493e-13,231753
expiry_selection,source_league_full,played_tm,player_leaguemonth,expiry_bin_6m::0:6,0.06518719266917718,0.006401569871727844,10.18300104120906,3.290791988238927e-24,231753
expiry_selection,source_league_full,played_tm,player_leaguemonth,expiry_bin_6m::6:12,0.07616505370510274,0.0063982896559152,11.903970873636263,2.0864254042357292e-32,231753
expiry_selection,source_league_full,played_tm,player_leaguemonth,expiry_bin_6m::12:18,0.026395485662199628,0.0049200843891603376,5.364844090957612,8.323321364081852e-8,231753
expiry_selection,source_league_full,played_tm,player_leaguemonth,expiry_bin_6m::18:24,0.04227389502282032,0.005439639315599936,7.771451850049353,8.70009044240358e-15,231753
expiry_selection,source_league_full,played_tm,player_leaguemonth,expiry_bin_6m::30:36,0.024241204550524365,0.004528173878484442,5.353417337992722,8.864742579900117e-8,231753
expiry_selection,source_league_full,played_tm,player_leaguemonth,expiry_bin_6m::36:48,0.002759923907159174,0.005168003301090738,0.5340406625856209,0.5933278977309633,231753
expiry_selection,source_league_full,played_tm,player_leaguemonth,expiry_bin_6m::48+,4.5903574820759863e-4,0.006572651056720887,0.06984027361960894,0.9443224970150197,231753
bosman_selection,source_league_full,Minutes_tm,player_leaguemonth,BosmanTRUE,10.846838213324038,1.657364427002756,6.54463076231212,6.322915653251095e-11,231753
expiry_selection,source_league_full,Minutes_tm,player_leaguemonth,expiry_bin_6m::0:6,17.323814433472304,2.3276344458321385,7.442669730417644,1.086775807383447e-13,231753
expiry_selection,source_league_full,Minutes_tm,player_leaguemonth,expiry_bin_6m::6:12,15.211434528540176,2.3191791729799935,6.558973409973529,5.7466343315791125e-11,231753
expiry_selection,source_league_full,Minutes_tm,player_leaguemonth,expiry_bin_6m::12:18,7.042270222525485,1.8327854394503669,3.8423866050776727,1.2276436360252293e-4,231753
expiry_selection,source_league_full,Minutes_tm,player_leaguemonth,expiry_bin_6m::18:24,9.171150610819412,1.9767086025010183,4.639606768147653,3.5449424219228574e-6,231753
expiry_selection,source_league_full,Minutes_tm,player_leaguemonth,expiry_bin_6m::30:36,3.277975620662312,1.740082709465985,1.8838044897695074,0.05962682509797774,231753
expiry_selection,source_league_full,Minutes_tm,player_leaguemonth,expiry_bin_6m::36:48,-3.3014985649158644,1.9970063610711668,-1.653223860110784,0.09832364371136779,231753
expiry_selection,source_league_full,Minutes_tm,player_leaguemonth,expiry_bin_6m::48+,-8.91688636727623,2.8076379127742785,-3.175938865444829,0.0014990641655790978,231753
bosman_selection,source_league_full,Matches_tm,player_leaguemonth,BosmanTRUE,0.15280743856365617,0.02003843304752958,7.62571794916344,2.69887350881834e-14,231753
expiry_selection,source_league_full,Matches_tm,player_leaguemonth,expiry_bin_6m::0:6,0.23987293463922943,0.027748583349628084,8.644511023026494,6.4303720854676224e-18,231753
expiry_selection,source_league_full,Matches_tm,player_leaguemonth,expiry_bin_6m::6:12,0.19734875144996555,0.027859830216750252,7.0836308015729745,1.520576808512914e-12,231753
expiry_selection,source_league_full,Matches_tm,player_leaguemonth,expiry_bin_6m::12:18,0.09112677873806736,0.021403474377635606,4.257569454858475,2.0896840822814424e-5,231753
expiry_selection,source_league_full,Matches_tm,player_leaguemonth,expiry_bin_6m::18:24,0.1079137085827394,0.023905749031340923,4.514132079327961,6.446496294388138e-6,231753
expiry_selection,source_league_full,Matches_tm,player_leaguemonth,expiry_bin_6m::30:36,0.0563129233836182,0.0208820802227385,2.6967104226665626,0.007017140869774976,231753
expiry_selection,source_league_full,Matches_tm,player_leaguemonth,expiry_bin_6m::36:48,-0.003862908089756895,0.02370647666035635,-0.16294737278343532,0.8705638918901896,231753
expiry_selection,source_league_full,Matches_tm,player_leaguemonth,expiry_bin_6m::48+,0.001423694405998018,0.03253019569420488,0.043765319439859486,0.9650925387177283,231753
bosman_selection,source_league_full,played_fotmob,player_leaguemonth,BosmanTRUE,-0.011706513972553404,0.0037020668077230767,-3.162156325253728,0.0015719942245543438,164071
expiry_selection,source_league_full,played_fotmob,player_leaguemonth,expiry_bin_6m::0:6,-0.015409454707615015,0.004976728226197043,-3.0963022305499934,0.0019663834872552174,164071
expiry_selection,source_league_full,played_fotmob,player_leaguemonth,expiry_bin_6m::6:12,-0.011094322582332734,0.005341139700056547,-2.077145179747925,0.037820470781367646,164071
expiry_selection,source_league_full,played_fotmob,player_leaguemonth,expiry_bin_6m::12:18,1.9067765156636232e-4,0.0038550107092145793,0.049462288421297546,0.9605521431341837,164071
expiry_selection,source_league_full,played_fotmob,player_leaguemonth,expiry_bin_6m::18:24,-0.00233058913515135,0.0046702567953019235,-0.4990280486280373,0.61777355139207,164071
expiry_selection,source_league_full,played_fotmob,player_leaguemonth,expiry_bin_6m::30:36,0.003663073603386409,0.004307482201965482,0.8503978499818217,0.39512976246298215,164071
expiry_selection,source_league_full,played_fotmob,player_leaguemonth,expiry_bin_6m::36:48,0.006117743234722601,0.004011362054732442,1.525103730665532,0.12727334822301647,164071
expiry_selection,source_league_full,played_fotmob,player_leaguemonth,expiry_bin_6m::48+,-0.0010222527009335835,0.005282066690198712,-0.19353271378236353,0.8465467752815954,164071
bosman_selection,source_league_full,fotmob_minutes,player_leaguemonth,BosmanTRUE,-0.8893174597776826,1.7279849483697909,-0.514655790617088,0.6068080021951866,164071
expiry_selection,source_league_full,fotmob_minutes,player_leaguemonth,expiry_bin_6m::0:6,-1.6032008520480725,2.370260592915388,-0.6763816842924252,0.4988181896284142,164071
expiry_selection,source_league_full,fotmob_minutes,player_leaguemonth,expiry_bin_6m::6:12,-3.0046661105029817,2.404681045490638,-1.2495071294953906,0.21151674951815658,164071
expiry_selection,source_league_full,fotmob_minutes,player_leaguemonth,expiry_bin_6m::12:18,1.9284437370424092,1.8563467845129997,1.0388380840966218,0.2989119120651932,164071
expiry_selection,source_league_full,fotmob_minutes,player_leaguemonth,expiry_bin_6m::18:24,0.44052415062200456,2.0393312016422276,0.2160140296324895,0.8289824014166562,164071
expiry_selection,source_league_full,fotmob_minutes,player_leaguemonth,expiry_bin_6m::30:36,-0.9202670988806481,1.8350165978052577,-0.5015034196319089,0.6160308782339707,164071
expiry_selection,source_league_full,fotmob_minutes,player_leaguemonth,expiry_bin_6m::36:48,-3.585236261440412,1.9466140879694043,-1.8417807019882015,0.06554478056581113,164071
expiry_selection,source_league_full,fotmob_minutes,player_leaguemonth,expiry_bin_6m::48+,-12.531433876794047,2.6813664557477663,-4.673525265422679,3.009882092783564e-6,164071
bosman_selection,source_league_full,played_any,spell_month,BosmanTRUE,-0.005162950179543603,0.00437385389448738,-1.1804121271747936,0.23787062658517838,231753
expiry_selection,source_league_full,played_any,spell_month,expiry_bin_6m::0:6,-0.10248054521167611,0.01672414172463364,-6.127701313409018,9.327770949634336e-10,231753
expiry_selection,source_league_full,played_any,spell_month,expiry_bin_6m::6:12,-0.05026054997470442,0.014246445585357497,-3.5279361208779147,4.2110855879562995e-4,231753
expiry_selection,source_league_full,played_any,spell_month,expiry_bin_6m::12:18,-0.04769808307044493,0.009193755069870491,-5.188095909446154,2.175476196673664e-7,231753
expiry_selection,source_league_full,played_any,spell_month,expiry_bin_6m::18:24,-8.284218681800179e-5,0.007145167587967317,-0.011594155882013263,0.9907496917076346,231753
expiry_selection,source_league_full,played_any,spell_month,expiry_bin_6m::30:36,0.03981272186983052,0.005208518882973667,7.643770285632621,2.3483447855732546e-14,231753
expiry_selection,source_league_full,played_any,spell_month,expiry_bin_6m::36:48,0.06167231774515686,0.010258316831059832,6.011933415667881,1.9117591976706778e-9,231753
