model_name,sample_name,outcome_name,split_var,split_level,term,estimate,std_error,t_value,p_value,nobs
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,age_group,29_plus,signed_new_contractTRUE,-0.005934349179494643,0.02936524396591147,-0.20208751496781396,0.8398666674133757,34711
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,age_group,29_plus,post_observed_renewalTRUE,-0.050208993531410125,0.02504913079797537,-2.0044205899339365,0.045145246669131056,34711
bosman_fe,source_league_strict,z_weighted_rating_league_season,age_group,29_plus,BosmanTRUE,0.04151266856351408,0.017236919837673517,2.4083576969931,0.01610481550279745,34710
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,29_plus,expiry_bin_6m::0:6,0.013268668679680524,0.029441930398786488,0.4506725102586147,0.6522692351545147,34710
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,29_plus,expiry_bin_6m::6:12,-0.03977741980913327,0.030969949932590054,-1.2843876046204068,0.19913924254372675,34710
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,29_plus,expiry_bin_6m::12:18,-0.028710661093042936,0.025587383695610446,-1.1220631790489894,0.26195589291167365,34710
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,29_plus,expiry_bin_6m::18:24,-0.04151723962948374,0.02795733191237595,-1.4850215234989999,0.13767889369748632,34710
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,29_plus,expiry_bin_6m::30:36,-0.0438715492981998,0.02815752809355568,-1.5580753094672588,0.11935672422756052,34710
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,29_plus,expiry_bin_6m::36:48,-0.03617820963381282,0.036796512240587144,-0.9831967061787903,0.32561686389915245,34710
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,29_plus,expiry_bin_6m::48+,-0.03334772047901402,0.08581634019955756,-0.3885940649702276,0.6976134050746203,34710
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,age_group,29_plus,signed_new_contractTRUE,-0.014501042215221655,0.028931563615809338,-0.5012187522176548,0.6162664508572074,34710
