term,estimate,std_error,t_value,p_value,months_to_expiry,outcome_name,spec_name,nobs,ci_lo,ci_hi
months_to_expiry::8,-0.09092857117598513,0.009445148096698474,-9.627013811225359,8.145464954860815e-22,8,played_tm,player_month,220396,-0.10944106144551413,-0.07241608090645613
months_to_expiry::9,-0.10232451300412063,0.009232901050953535,-11.082596081060892,2.4874978987656203e-28,9,played_tm,player_month,220396,-0.12042099906398955,-0.0842280269442517
months_to_expiry::10,-0.1068852592575019,0.009540740317375174,-11.20303621123061,6.570163424837193e-29,10,played_tm,player_month,220396,-0.12558511027955724,-0.08818540823544657
months_to_expiry::11,-0.2007454572791578,0.010759600829934142,-18.657333153165546,5.0317716799119653e-76,11,played_tm,player_month,220396,-0.22183427490582872,-0.17965663965248688
months_to_expiry::12,-0.2682883588911768,0.010475446465142636,-25.611162233888017,6.185881687980138e-139,12,played_tm,player_month,220396,-0.2888202339628564,-0.24775648381949725
months_to_expiry::13,-0.17333413926173877,0.008870146058203656,-19.54129482472599,4.792705249210435e-83,13,played_tm,player_month,220396,-0.19071962553581792,-0.15594865298765961
months_to_expiry::14,-0.1548497623709556,0.008582745762139944,-18.04198407624121,2.599675747247473e-71,14,played_tm,player_month,220396,-0.1716719440647499,-0.1380275806771613
months_to_expiry::15,-0.14679462534321946,0.008281625782413706,-17.72533910611398,6.080943403652558e-69,15,played_tm,player_month,220396,-0.16302661187675033,-0.1305626388096886
months_to_expiry::16,-0.13713392525134036,0.007978602961108439,-17.187711422638436,5.2267280435974e-65,16,played_tm,player_month,220396,-0.15277198705511288,-0.12149586344756781
months_to_expiry::17,-0.12051856377703302,0.008222482204766929,-14.65719970876473,5.3089106266817e-48,17,played_tm,player_month,220396,-0.1366346288983762,-0.10440249865568983
months_to_expiry::19,-0.09359592055165292,0.007530335441251602,-12.42918343835378,3.92184250812757e-35,19,played_tm,player_month,220396,-0.10835537801650606,-0.07883646308679977
months_to_expiry::20,-0.07849830580345285,0.007730101669318367,-10.15488659289196,4.459370499281838e-24,20,played_tm,player_month,220396,-0.09364930507531685,-0.06334730653158885
months_to_expiry::21,-0.099694203359184,0.008246659317904996,-12.089041091188255,2.4076689372564855e-33,21,played_tm,player_month,220396,-0.11585765562227779,-0.0835307510960902
months_to_expiry::22,-0.11385053505368269,0.008837492078743979,-12.8826746365654,1.3690298554941063e-37,22,played_tm,player_month,220396,-0.13117201952802088,-0.0965290505793445
months_to_expiry::23,-0.21765901090499692,0.010254010235682575,-21.22672065876947,3.0723262914686044e-97,23,played_tm,player_month,220396,-0.23775687096693476,-0.19756115084305909
months_to_expiry::24,-0.13090462417778292,0.007400731471090341,-17.688065657987845,1.1489871025707373e-68,24,played_tm,player_month,220396,-0.14541005786112,-0.11639919049444586
months_to_expiry::0,-60.76418038241553,3.475973757583505,-17.481196527979186,3.840103748639078e-67,0,Minutes_tm,player_month,220396,-67.57708894727921,-53.95127181755186
months_to_expiry::1,-41.1378637043522,3.596491957744206,-11.438330514203267,4.686510976135641e-30,1,Minutes_tm,player_month,220396,-48.186987941530845,-34.08873946717355
months_to_expiry::2,-36.63768555865371,3.798533394176109,-9.645218761226744,6.836580612692916e-22,2,Minutes_tm,player_month,220396,-44.08281101123888,-29.192560106068534
months_to_expiry::3,-36.715079916700404,3.568996333899595,-10.287228251810609,1.1592950890220159e-24,3,Minutes_tm,player_month,220396,-43.71031273114361,-29.719847102257198
months_to_expiry::4,-31.006692608064217,3.6290053034302803,-8.54412986907334,1.543882728842259e-17,4,Minutes_tm,player_month,220396,-38.119543002787566,-23.893842213340868
months_to_expiry::5,-33.09114390146843,3.701375090571709,-8.940229804258292,4.791340306140376e-19,5,Minutes_tm,player_month,220396,-40.34583907898897,-25.83644872394788
months_to_expiry::6,-0.7138857877580378,3.1393647946472982,-0.2273981631491926,0.8201201544848098,6,Minutes_tm,player_month,220396,-6.8670407852667426,5.439269209750667
months_to_expiry::7,-32.53739688914588,3.384772062247497,-9.612876817336105,9.330360202892584e-22,7,Minutes_tm,player_month,220396,-39.17155013115097,-25.903243647140787
months_to_expiry::8,-19.624227502643443,3.4033435686446913,-5.766161160878145,8.421508302279215e-9,8,Minutes_tm,player_month,220396,-26.29478089718704,-12.953674108099847
