sample_name,outcome_name,check_type,cutoff_days,bandwidth_days,donut_days,specification,estimate,std_error,t_value,p_value,nobs,n_players,n_above,n_inside
all_comps,fotmob_mean_rating,bandwidth_donut,180,120,14,month_fe,0.45897399447729526,0.6379163472680118,0.7194893130469717,0.4718857761640023,21292,3633,9570,11722
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,120,14,month_fe,1.1670581953635903,0.6170814623490788,1.891254666638152,0.05867197141330714,20288,3539,9155,11133
all_comps,fotmob_mean_rating,bandwidth_donut,180,180,14,month_fe,0.3718402045439805,0.4211307434076164,0.8829566835591313,0.3773098392088926,28754,4232,16562,12192
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,180,14,month_fe,0.7322683041831756,0.3741646930466005,1.957074833065489,0.050405844900860766,27454,4137,15871,11583
all_comps,fotmob_mean_rating,placebo_cutoff,120,90,0,month_fe,-0.15170035701858287,0.2101520276552129,-0.7218600682143829,0.47043276639470843,14855,3231,8994,5861
all_comps,fotmob_minutes_weighted_rating,placebo_cutoff,120,90,0,month_fe,-0.3130229779658307,0.19594162803563825,-1.597531780785742,0.1102484842809584,14103,3121,8447,5656
all_comps,fotmob_mean_rating,placebo_cutoff,150,90,0,month_fe,1.4667853914106763,0.5435371450144719,2.698592736236311,0.006998394278085788,16896,3339,6148,10748
all_comps,fotmob_minutes_weighted_rating,placebo_cutoff,150,90,0,month_fe,2.114147420461541,0.5656069209051463,3.737838669085326,1.888212867745829e-4,16026,3234,5844,10182
all_comps,fotmob_mean_rating,placebo_cutoff,210,90,0,month_fe,-0.5535474184926417,0.2121397129864501,-2.609353103668987,0.009109477338797503,18564,3547,9554,9010
all_comps,fotmob_minutes_weighted_rating,placebo_cutoff,210,90,0,month_fe,-0.6402345175204963,0.25035539518029,-2.5573026579253075,0.010591234158891315,17602,3444,9139,8463
all_comps,fotmob_mean_rating,placebo_cutoff,240,90,0,month_fe,-0.35830020315107314,0.2149494286273846,-1.6669046549185647,0.09562030260577332,16989,3603,10232,6757
all_comps,fotmob_minutes_weighted_rating,placebo_cutoff,240,90,0,month_fe,-0.421651548585424,0.2155758058274374,-1.955931682440026,0.05055237050173909,16241,3513,9791,6450
all_comps,fotmob_mean_rating,fe_compare,180,90,0,month_fe,0.42398507012640974,0.3607498652851176,1.1752882285661128,0.2399599193433361,16062,3477,7000,9062
all_comps,fotmob_minutes_weighted_rating,fe_compare,180,90,0,month_fe,0.7007815497758869,0.3591637063418244,1.9511480068894738,0.0511223179814407,15263,3366,6704,8559
all_comps,fotmob_mean_rating,fe_compare,180,90,0,no_fe,-0.42565868613303515,0.05975454440133124,-7.123452959061506,1.2735657398726236e-12,16062,3477,7000,9062
all_comps,fotmob_minutes_weighted_rating,fe_compare,180,90,0,no_fe,0.007220915611155121,0.04497283465061375,0.1605617183629446,0.872448245715959,15263,3366,6704,8559
