term,estimate,std_error,t_value,p_value,months_to_expiry,outcome_name,variant,nobs,ci_lo,ci_hi
months_to_expiry::14,-0.03279394731593702,0.007499655865722681,-4.37272694948876,1.2430978697689763e-5,14,played_tm,baseline,219714,-0.04749327281275348,-0.018094621819120568
months_to_expiry::15,-0.041698830701283725,0.0072341560682465155,-5.764159676387945,8.521615005462138e-9,15,played_tm,baseline,219714,-0.05587777659504689,-0.027519884807520555
months_to_expiry::16,-0.034327857290155424,0.0069392257533710125,-4.9469290249678455,7.698246583590871e-7,16,played_tm,baseline,219714,-0.04792873976676261,-0.020726974813548238
months_to_expiry::17,-0.03819631613128369,0.007193791861553587,-5.309622083371583,1.1290461724841746e-7,17,played_tm,baseline,219714,-0.052296148179928725,-0.02409648408263866
months_to_expiry::19,-0.023117769076772265,0.006832018057230897,-3.383739457817269,7.18607076986251e-4,19,played_tm,baseline,219714,-0.03650852446894482,-0.009727013684599708
months_to_expiry::20,-0.026170567155906894,0.006890588679224477,-3.7980161600434323,1.4697495472178318e-4,20,played_tm,baseline,219714,-0.03967612096718687,-0.01266501334462692
months_to_expiry::21,-0.03561968112468606,0.0072222053787568356,-4.9319673502302575,8.310116542098521e-7,21,played_tm,baseline,219714,-0.04977520366704946,-0.021464158582322663
months_to_expiry::22,-0.034525537434977514,0.008013656067778855,-4.3083378102283545,1.6651937535947704e-5,22,played_tm,baseline,219714,-0.050232303327824065,-0.01881877154213096
months_to_expiry::23,-0.04096980170999004,0.008999250935528925,-4.552579098360487,5.380192978220869e-6,23,played_tm,baseline,219714,-0.05860833354362673,-0.023331269876353346
months_to_expiry::24,-0.04502960690566187,0.00844270840916332,-5.333549937220247,9.903427186936214e-8,24,played_tm,baseline,219714,-0.06157731538762198,-0.028481898423701767
months_to_expiry::0,-0.14589079670930394,0.013323761781983752,-10.949670152957546,1.0655424531662368e-27,0,played_tm,age_quadratic,219018,-0.1720053698019921,-0.11977622361661579
months_to_expiry::1,-0.04653593248203074,0.012508602199446555,-3.7203143676668944,2.0038755546956095e-4,1,played_tm,age_quadratic,219018,-0.07105279279294599,-0.02201907217111549
months_to_expiry::2,-0.03668278847803054,0.012014673377192194,-3.0531656855247142,0.002272120155351963,2,played_tm,age_quadratic,219018,-0.06023154829732724,-0.01313402865873384
months_to_expiry::3,-0.044105274331621744,0.011808472804927228,-3.7350532164682875,1.8902788148482895e-4,3,played_tm,age_quadratic,219018,-0.06724988102927912,-0.020960667633964376
months_to_expiry::4,-0.03472219355613404,0.011363920602751107,-3.0554766061748175,0.0022547047781959983,4,played_tm,age_quadratic,219018,-0.05699547793752621,-0.012448909174741871
months_to_expiry::5,-0.059263885026156864,0.011538227824437348,-5.136307405946616,2.8704610440939593e-7,5,played_tm,age_quadratic,219018,-0.08187881156205407,-0.03664895849025966
months_to_expiry::6,-9.045775036328639e-5,0.010188138905861703,-0.008878731552358587,0.9929161197558141,6,played_tm,age_quadratic,219018,-0.020059210005852226,0.01987829450512565
months_to_expiry::7,-0.03171954889372033,0.010990410514091456,-2.8861113834693266,0.0039111591258454365,7,played_tm,age_quadratic,219018,-0.05326075350133958,-0.010178344286101072
months_to_expiry::8,-0.03315759475788994,0.01044940096550469,-3.1731574726004856,0.0015138237779084031,8,played_tm,age_quadratic,219018,-0.05363842065027913,-0.012676768865500745
months_to_expiry::9,-0.04437478354907727,0.01013519041108586,-4.3782880981239565,1.2119274138936939e-5,9,played_tm,age_quadratic,219018,-0.06423975675480556,-0.024509810343348985
months_to_expiry::10,-0.026475279613208974,0.010008960306809925,-2.645157818759222,0.008181826555693073,10,played_tm,age_quadratic,219018,-0.04609284181455643,-0.00685771741186152
months_to_expiry::11,-0.027428176372033437,0.009795293887047286,-2.800138177406073,0.005120772245102823,11,played_tm,age_quadratic,219018,-0.04662695239064612,-0.008229400353420756
months_to_expiry::12,-0.11425741730759936,0.009377201834766808,-12.184596142953845,7.67250448393163e-34,12,played_tm,age_quadratic,219018,-0.1326367329037423,-0.09587810171145641
months_to_expiry::13,-0.053466271137680786,0.007969018788431764,-6.709266542989605,2.0942542569441866e-11,13,played_tm,age_quadratic,219018,-0.06908554796300705,-0.037846994312354526
months_to_expiry::14,-0.03336221002421841,0.00751342921483706,-4.44034395883264,9.106556378423289e-6,14,played_tm,age_quadratic,219018,-0.048088531285299045,-0.01863588876313777
months_to_expiry::15,-0.041985993643406695,0.0072376301909590195,-5.801069208517181,6.8495592780090645e-9,15,played_tm,age_quadratic,219018,-0.05617174881768637,-0.027800238469127016
months_to_expiry::16,-0.034884869071464535,0.006928372418383186,-5.035074179745856,4.884800945510124e-7,16,played_tm,age_quadratic,219018,-0.04846447901149558,-0.02130525913143349
months_to_expiry::17,-0.03866396225709625,0.007208384033099916,-5.363748945610641,8.387566398427061e-8,17,played_tm,age_quadratic,219018,-0.052792394961972085,-0.024535529552220416
months_to_expiry::19,-0.023078887641809268,0.00683762911582491,-3.3752763203250997,7.410527968971802e-4,19,played_tm,age_quadratic,219018,-0.03648064070882609,-0.009677134574792445
months_to_expiry::20,-0.025801897743837097,0.0069014431327850635,-3.73862353820842,1.8636869829720832e-4,20,played_tm,age_quadratic,219018,-0.039328726284095825,-0.012275069203578372
months_to_expiry::21,-0.034926374477203294,0.0072292346745976765,-4.831268598864101,1.3828197864779446e-6,21,played_tm,age_quadratic,219018,-0.04909567443941474,-0.020757074514991848
months_to_expiry::22,-0.03458228055336899,0.008041721458580087,-4.300357918573709,1.7262178858927498e-5,22,played_tm,age_quadratic,219018,-0.05034405461218596,-0.018820506494552018
months_to_expiry::23,-0.04066718340402492,0.009037304671768186,-4.499923913273162,6.897392529036877e-6,23,played_tm,age_quadratic,219018,-0.05838030056069056,-0.022954066247359278
months_to_expiry::24,-0.044778906759085614,0.00849699339267472,-5.269970763739751,1.4013750670671957e-7,24,played_tm,age_quadratic,219018,-0.061433013808728065,-0.028124799709443163
months_to_expiry::0,-0.1566805888886737,0.020514141884696874,-7.63768671238226,2.705308083127477e-14,0,played_tm,u24_at_spell_start,105834,-0.19688830698267956,-0.11647287079466782
months_to_expiry::1,-0.0693309374767868,0.01945647417436307,-3.5633865034056935,3.7004957547689797e-4,1,played_tm,u24_at_spell_start,105834,-0.10746562685853842,-0.031196248095035184
months_to_expiry::2,-0.05944636924000991,0.018925703278133463,-3.1410388489337433,0.0016948540342450267,2,played_tm,u24_at_spell_start,105834,-0.0965407476651515,-0.02235199081486832
months_to_expiry::3,-0.06198444520061377,0.018276223200043868,-3.3915347017903015,7.012544265504775e-4,3,played_tm,u24_at_spell_start,105834,-0.09780584267269975,-0.02616304772852779
months_to_expiry::4,-0.06449752553520802,0.017588584339206806,-3.6670106184405213,2.4835064978967567e-4,4,played_tm,u24_at_spell_start,105834,-0.09897115084005335,-0.03002390023036268
months_to_expiry::5,-0.07170925641972443,0.01844009049389409,-3.8887692250463144,1.0226525628829485e-4,5,played_tm,u24_at_spell_start,105834,-0.10785183378775685,-0.035566679051692016
months_to_expiry::6,-0.01410290812953636,0.01640977534698151,-0.8594211578972355,0.3901558101008932,6,played_tm,u24_at_spell_start,105834,-0.04626606780962012,0.018060251550547406
months_to_expiry::7,-0.03456545764073306,0.017739476363815298,-1.9485049576344389,0.051419127791130524,7,played_tm,u24_at_spell_start,105834,-0.06933483131381105,2.0391603234492378e-4
months_to_expiry::8,-0.03652965515100104,0.01684327507949549,-2.1687976345806503,0.030152347384425026,8,played_tm,u24_at_spell_start,105834,-0.06954247430681221,-0.003516835995189878
months_to_expiry::9,-0.05158469852975058,0.015928109140571856,-3.2385952453298277,0.001210271485110096,9,played_tm,u24_at_spell_start,105834,-0.08280379244527142,-0.020365604614229746
months_to_expiry::10,-0.04340723101672203,0.01563005681701119,-2.7771639940220285,0.0055071609615922525,10,played_tm,u24_at_spell_start,105834,-0.07404214237806396,-0.012772319655380098
months_to_expiry::11,-0.04755888496704536,0.014967965255461508,-3.177378097513427,0.0014965915023202768,11,played_tm,u24_at_spell_start,105834,-0.07689609686774992,-0.01822167306634081
months_to_expiry::12,-0.14487398148456307,0.01453096269948801,-9.970019501162687,3.659028361368278e-23,12,played_tm,u24_at_spell_start,105834,-0.17335466837555957,-0.11639329459356657
months_to_expiry::13,-0.0623914980900338,0.012730326286827518,-4.901013272110104,9.88322502658793e-7,13,played_tm,u24_at_spell_start,105834,-0.08734293761221573,-0.03744005856785187
months_to_expiry::14,-0.043038673803339735,0.011878709779660558,-3.623177483217339,2.943471274797931e-4,14,played_tm,u24_at_spell_start,105834,-0.06632094497147442,-0.01975640263520504
months_to_expiry::15,-0.04739098150524209,0.011384610273069706,-4.1627232174425375,3.2059045842253895e-5,15,played_tm,u24_at_spell_start,105834,-0.06970481764045872,-0.025077145370025467
months_to_expiry::16,-0.040435382049036614,0.011089661989129713,-3.646223130035172,2.6925214867197105e-4,16,played_tm,u24_at_spell_start,105834,-0.06217111954773085,-0.018699644550342377
months_to_expiry::17,-0.0494066703370186,0.011138958441911163,-4.43548385557507,9.41463138689959e-6,17,played_tm,u24_at_spell_start,105834,-0.07123902888316448,-0.027574311790872722
months_to_expiry::19,-0.016981846199617855,0.010301757688223329,-1.6484416265227253,0.09933467803253135,19,played_tm,u24_at_spell_start,105834,-0.03717329126853558,0.003209598869299869
months_to_expiry::20,-0.019038539800295694,0.010836985331896965,-1.7568114394562058,0.07902067757602782,20,played_tm,u24_at_spell_start,105834,-0.04027903105081375,0.0022019514502223565
months_to_expiry::21,-0.037814070886702134,0.011134005452021666,-3.3962684004107446,6.892693560254901e-4,21,played_tm,u24_at_spell_start,105834,-0.0596367215726646,-0.01599142020073967
months_to_expiry::22,-0.05326034969470799,0.012353802029405463,-4.311251675227888,1.6594497779810763e-5,22,played_tm,u24_at_spell_start,105834,-0.07747380167234269,-0.029046897717073285
months_to_expiry::23,-0.06478002111192703,0.013682981764529154,-4.734349736536112,2.2678373886010413e-06,23,played_tm,u24_at_spell_start,105834,-0.09159866537040418,-0.037961376853449885
months_to_expiry::24,-0.04986132973267103,0.012261124601154694,-4.06661960909975,4.854840393621538e-5,24,played_tm,u24_at_spell_start,105834,-0.07389313395093423,-0.02582952551440783
months_to_expiry::0,-0.16116530745104513,0.021483053641571954,-7.501973887882187,8.181545833042024e-14,0,played_tm,24_28_at_spell_start,75417,-0.20327209258852616,-0.11905852231356409
