model_name,sample_name,outcome_name,spec_name,term,estimate,std_error,t_value,p_value,nobs,mde_80pct
bosman,source_league_strict,z_mean_rating_league_season,player_leaguemonth,BosmanTRUE,0.009332879412800409,0.024621017138316766,0.37906148882354657,0.7046587221237086,48694,0.06893884798728694
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::0:6,-0.0030696324445634604,0.032819596351274155,-0.0935304752596169,0.9254859859447067,48694,0.09189486978356763
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::6:12,-0.01842474344800049,0.032012330558902444,-0.5755514555273976,0.5649449823828432,48694,0.08963452556492683
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::12:18,-0.01137139927765321,0.02408408183409828,-0.47215415376780384,0.63683790741253965,48694,0.06743542913547518
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::18:24,0.007239477394102231,0.026854281118667573,0.26958373460497354,0.7874919318317795,48694,0.0751919871322692
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::30:36,-0.01904852460035173,0.024074951234600076,-0.7912175777525788,0.4288555514651422,48694,0.06740986345688021
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::36:48,-0.017145684957269237,0.023394106458857353,-0.7329061696552907,0.46365091964923033,48694,0.06550349808480059
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::48+,-0.0351873498003224,0.03128354635673899,-1.1247877526117644,0.26073439614263033,48694,0.08759392979886917
bosman,source_league_strict,z_weighted_rating_league_season,player_leaguemonth,BosmanTRUE,0.025228492610845175,0.02219941313002085,1.1364486287580289,0.25582474863378624,48694,0.06215835676405838
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::0:6,0.011178676991226297,0.028842805800517003,0.38757245285151565,0.6983493885573557,48694,0.0807598562414476
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::6:12,-0.025979899733266223,0.030327491734497808,-0.8566451838716963,0.39168313837848856,48694,0.08491697685659386
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::12:18,-0.005108556808440758,0.021984938446606577,-0.23236620929585886,0.8162633517221245,48694,0.061557827650498415
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::18:24,-0.005824952754943591,0.025454396662740422,-0.22883876731087588,0.8190038389767553,48694,0.07127231065567317
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::30:36,-0.011070592801942994,0.023656637194381297,-0.467969843345798,0.6398270882132502,48694,0.06623858414426763
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::36:48,-0.012951872294496326,0.02160839479695493,-0.599390765311337,0.5489402050693412,48694,0.06050350543147379
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::48+,-0.008526081034815778,0.028392321615582226,-0.3002953104805811,0.763964722196343,48694,0.07949850052363022
bosman,source_league_strict,z_mean_rating_league_season,spell_month,BosmanTRUE,-0.061845785363936964,0.026922855185169566,-2.2971480899249004,0.021652529038721353,48694,0.07538399451847479
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::0:6,-0.0025457101654650493,0.10205170741476224,-0.02494529714352237,0.9800996181770646,48694,0.28574478076133425
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::6:12,0.04581965290844356,0.09536029406641185,0.48048984492993846,0.6309006959934471,48694,0.26700882338595316
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::12:18,0.03888190013077431,0.05446227969247906,0.7139234778698345,0.4753086980293836,48694,0.15249438313894137
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::18:24,0.07989265281441911,0.04979494033896194,1.6044331466325161,0.10868342535053957,48694,0.13942583294909341
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::30:36,0.0016804453961887726,0.02432914327993618,0.06907129350397663,0.9449357054956735,48694,0.0681216011838213
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::36:48,-0.03892072116690649,0.05606589098299756,-0.6941960697406827,0.48759235600998163,48694,0.15698449475239315
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::48+,-0.14410668131654364,0.10431203462862679,-1.3814962178582206,0.16718978924291195,48694,0.292073696960155
bosman,source_league_strict,z_weighted_rating_league_season,spell_month,BosmanTRUE,-0.01717473833162716,0.024650284603863072,-0.6967359041743324,0.4860013253998531,48694,0.0690207968908166
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::0:6,0.03984301666317207,0.08558178568318349,0.4655548648011101,0.6415549662303487,48694,0.23962899991291375
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::6:12,0.04156918261984083,0.08023252822064168,0.5181088461468448,0.6044058551020428,48694,0.22465107901779668
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::12:18,0.04139618182752401,0.046319797767377345,0.8937038549999673,0.371524506011384,48694,0.12969543374865655
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::18:24,0.05582985943747858,0.04245623181310796,1.3149979885930818,0.18857246809891537,48694,0.11887744907670228
