sample_name,rating_variable,Month,n_rows,n_players,mean,median,sd
all_comps_strict,fotmob_minutes_weighted_rating,2024-07-01,803,803,6.875026779989807,6.867258382643,0.6011101015656813
all_comps_strict,fotmob_minutes_weighted_rating,2024-08-01,3219,3219,6.865088989601792,6.86404494382022,0.5817072518048024
all_comps_strict,fotmob_minutes_weighted_rating,2024-09-01,3718,3718,6.839315810980354,6.85,0.5753653515693552
all_comps_strict,fotmob_minutes_weighted_rating,2024-10-01,3740,3740,6.866928269368939,6.86666666666667,0.6007851306486206
all_comps_strict,fotmob_minutes_weighted_rating,2024-11-01,3783,3783,6.8623149555438525,6.844140625,0.5667721623880374
all_comps_strict,fotmob_minutes_weighted_rating,2024-12-01,3622,3622,6.866720996847741,6.87054591620821,0.6011161012646481
all_comps_strict,fotmob_minutes_weighted_rating,2025-01-01,3218,3218,6.873835655063457,6.880947580645159,0.60480010874556
all_comps_strict,fotmob_minutes_weighted_rating,2025-02-01,3566,3566,6.861753068461239,6.86666666666667,0.5751824980055995
all_comps_strict,fotmob_minutes_weighted_rating,2025-03-01,3601,3601,6.778347042264088,6.8,0.8956560721772008
all_comps_strict,fotmob_minutes_weighted_rating,2025-04-01,4156,4156,6.709910226638678,6.8,0.7984516961411067
all_comps_strict,fotmob_minutes_weighted_rating,2025-05-01,4041,4041,6.74828840832832,6.80265486725664,0.8242687413709632
all_comps_strict,fotmob_minutes_weighted_rating,2025-06-01,554,554,6.742177517766699,6.8,0.9269945913599336
all_comps_strict,fotmob_minutes_weighted_rating,2025-07-01,1527,1527,6.264339187435932,6.5921875,1.4404577251454185
all_comps_strict,fotmob_minutes_weighted_rating,2025-08-01,4052,4052,6.308020334271226,6.6,1.2501720591040344
all_comps_strict,fotmob_minutes_weighted_rating,2025-09-01,4405,4405,6.478527736404657,6.74448398576513,1.1660592806796972
all_comps_strict,fotmob_minutes_weighted_rating,2025-10-01,4611,4611,6.505638957200909,6.771,1.181404289372912
all_comps_strict,fotmob_minutes_weighted_rating,2025-11-01,4485,4485,6.5255177544972724,6.75120481927711,1.0690690584169835
all_comps_strict,fotmob_minutes_weighted_rating,2025-12-01,4242,4242,6.5846085199828694,6.7732190292199945,1.0811748959304623
all_comps_strict,fotmob_minutes_weighted_rating,2026-01-01,4279,4279,6.69378484914903,6.8,0.8461384695129361
all_comps_strict,fotmob_minutes_weighted_rating,2026-02-01,4650,4650,6.683257824398509,6.8,0.836273974241019
all_comps_strict,fotmob_minutes_weighted_rating,2026-03-01,4601,4601,6.665680743503156,6.8,0.9088474841528875
all_comps_strict,fotmob_minutes_weighted_rating,2026-04-01,4676,4676,6.843016203904116,6.836259920634925,0.5697669066407567
all_comps_strict,fotmob_minutes_weighted_rating,2026-05-01,4491,4491,6.840943071407476,6.825,0.6041136996786866
all_comps_strict,fotmob_minutes_weighted_rating,2026-06-01,79,79,6.822781957093929,6.80487106017192,0.5756628322552381
source_league_strict,fotmob_mean_rating,2022-07-01,411,411,6.935197080291971,6.905,0.6742704324513832
source_league_strict,fotmob_mean_rating,2022-08-01,1953,1953,6.875048655304416,6.87,0.5511654357338254
source_league_strict,fotmob_mean_rating,2022-09-01,2004,2004,6.857399783765802,6.86,0.5917720900928091
source_league_strict,fotmob_mean_rating,2022-10-01,2177,2177,6.841060218299538,6.84,0.5010587802346018
source_league_strict,fotmob_mean_rating,2022-11-01,1902,1902,6.878484928145811,6.85,0.6255308847803611
source_league_strict,fotmob_mean_rating,2022-12-01,1155,1155,6.90998556998557,6.9,0.6757808349884987
source_league_strict,fotmob_mean_rating,2023-01-01,2034,2034,6.882335709603408,6.9,0.568244661678757
source_league_strict,fotmob_mean_rating,2023-02-01,2167,2167,6.914272309754543,6.9,0.5457431699842195
source_league_strict,fotmob_mean_rating,2023-03-01,2087,2087,6.9080945535856895,6.9,0.5827213314313139
source_league_strict,fotmob_mean_rating,2023-04-01,2473,2473,6.893206347601717,6.89714285714286,0.5252352403181705
source_league_strict,fotmob_mean_rating,2023-05-01,2359,2359,6.886979289044995,6.8975,0.5713129571797728
source_league_strict,fotmob_mean_rating,2023-06-01,1031,1031,6.912107015842224,6.89,0.6948042485250228
source_league_strict,fotmob_mean_rating,2023-07-01,658,658,6.974058583007671,6.9625,0.6475409067927632
source_league_strict,fotmob_mean_rating,2023-08-01,2624,2624,6.899655360772358,6.875,0.6138496618186212
source_league_strict,fotmob_mean_rating,2023-09-01,3086,3086,6.852323125945128,6.8412500000000005,0.5566627053323018
source_league_strict,fotmob_mean_rating,2023-10-01,3064,3064,6.880576697127937,6.86666666666667,0.5788341671529487
source_league_strict,fotmob_mean_rating,2023-11-01,2964,2964,6.878055410963306,6.86666666666667,0.580270069195685
source_league_strict,fotmob_mean_rating,2023-12-01,3035,3035,6.8692953400800185,6.85,0.5525039249850499
source_league_strict,fotmob_mean_rating,2024-01-01,2494,2494,6.857974472066292,6.85,0.5993579926177054
source_league_strict,fotmob_mean_rating,2024-02-01,2928,2928,6.843900996942493,6.84,0.5540246487881221
source_league_strict,fotmob_mean_rating,2024-03-01,2906,2906,6.847310310359519,6.83333333333333,0.5427982631473595
source_league_strict,fotmob_mean_rating,2024-04-01,3277,3277,6.827955483383466,6.8,0.5325824227757914
source_league_strict,fotmob_mean_rating,2024-05-01,3173,3173,6.826361487551213,6.8,0.6157720103058069
source_league_strict,fotmob_mean_rating,2024-06-01,547,547,6.846109515104031,6.8,0.5767266825929768
source_league_strict,fotmob_mean_rating,2024-07-01,803,803,6.842176807211054,6.8,0.5893251955111678
source_league_strict,fotmob_mean_rating,2024-08-01,3219,3219,6.83220617168893,6.8,0.5672228308001819
source_league_strict,fotmob_mean_rating,2024-09-01,3718,3718,6.799056904633828,6.8,0.5539617158287544
source_league_strict,fotmob_mean_rating,2024-10-01,3740,3740,6.826401515151515,6.8,0.5810201249193377
source_league_strict,fotmob_mean_rating,2024-11-01,3783,3783,6.823026698387523,6.8,0.5469470040939617
source_league_strict,fotmob_mean_rating,2024-12-01,3622,3622,6.826344593883936,6.8,0.5839765742655298
source_league_strict,fotmob_mean_rating,2025-01-01,3218,3218,6.833442244517446,6.82,0.5886683074191568
source_league_strict,fotmob_mean_rating,2025-02-01,3566,3566,6.817867358384745,6.8,0.5554416035763529
source_league_strict,fotmob_mean_rating,2025-03-01,3542,3542,6.83640894302385,6.8,0.684210329358912
source_league_strict,fotmob_mean_rating,2025-04-01,4000,4000,6.227502083333333,6.675,1.483250789193758
source_league_strict,fotmob_mean_rating,2025-05-01,3898,3898,6.233022123677588,6.66666666666667,1.4912098644079397
source_league_strict,fotmob_mean_rating,2025-06-01,515,515,6.634443365695793,6.8,1.1980733302629307
source_league_strict,fotmob_mean_rating,2025-07-01,696,696,6.4214128352490425,6.770833333333336,1.4404737705624302
source_league_strict,fotmob_mean_rating,2025-08-01,3613,3613,6.18045253252145,6.66666666666667,1.5465423580447215
source_league_strict,fotmob_mean_rating,2025-09-01,4044,4044,5.982294757665677,6.6,1.6628692582239901
source_league_strict,fotmob_mean_rating,2025-10-01,4188,4188,5.959725747032337,6.6,1.687679441641865
source_league_strict,fotmob_mean_rating,2025-11-01,4202,4202,5.9206301421092,6.6,1.7176164360506878
source_league_strict,fotmob_mean_rating,2025-12-01,3881,3881,6.051840345517233,6.6,1.626313638714655
source_league_strict,fotmob_mean_rating,2026-01-01,3996,3996,6.006275054816721,6.6,1.6720817663149163
source_league_strict,fotmob_mean_rating,2026-02-01,4487,4487,5.8917211627240595,6.6,1.7380669710299232
source_league_strict,fotmob_mean_rating,2026-03-01,4479,4479,6.02233385428295,6.6,1.6595435713001474
source_league_strict,fotmob_mean_rating,2026-04-01,4676,4676,6.799184691840808,6.8,0.5466275308337593
source_league_strict,fotmob_mean_rating,2026-05-01,4491,4491,6.803167817115713,6.775,0.5834141272439055
source_league_strict,fotmob_mean_rating,2026-06-01,79,79,6.800738396624473,6.8,0.5611124701791599
source_league_strict,fotmob_minutes_weighted_rating,2022-07-01,411,411,6.949245677315627,6.90374100719424,0.6774911290367679
source_league_strict,fotmob_minutes_weighted_rating,2022-08-01,1953,1953,6.9142462103428715,6.92914798206278,0.5643338956711343
source_league_strict,fotmob_minutes_weighted_rating,2022-09-01,2004,2004,6.889997451591603,6.910221238938055,0.6061497257396445
source_league_strict,fotmob_minutes_weighted_rating,2022-10-01,2177,2177,6.895227151939042,6.9,0.5224087203536034
source_league_strict,fotmob_minutes_weighted_rating,2022-11-01,1902,1902,6.908192881806121,6.9,0.6374672715904546
source_league_strict,fotmob_minutes_weighted_rating,2022-12-01,1155,1155,6.926758236296667,6.9,0.6855104856439697
source_league_strict,fotmob_minutes_weighted_rating,2023-01-01,2033,2033,6.924345723996492,6.96666666666667,0.5833889078256373
source_league_strict,fotmob_minutes_weighted_rating,2023-02-01,2167,2167,6.958496000518321,6.96666666666667,0.563002660107998
source_league_strict,fotmob_minutes_weighted_rating,2023-03-01,2087,2087,6.940589591689329,6.95,0.5917036041853431
source_league_strict,fotmob_minutes_weighted_rating,2023-04-01,2472,2472,6.949051685742459,6.965727272727269,0.5439149466537619
source_league_strict,fotmob_minutes_weighted_rating,2023-05-01,2358,2358,6.933264082300701,6.955,0.5886671338713161
source_league_strict,fotmob_minutes_weighted_rating,2023-06-01,1031,1031,6.92336942276025,6.9,0.6986887180155529
source_league_strict,fotmob_minutes_weighted_rating,2023-07-01,658,658,7.003604820691859,7.01556059746644,0.6549872988972969
