tm_player_id,player_name_tm,fotmob_player_id,fotmob_player_name,date_of_birth,fotmob_dob,dob_status,merge_safe,review_flag
544259,Ademir,937552,Ademir,1995-02-16,1995-02-16,verified,TRUE,auto_keep_candidate
406040,Ademola Lookman,690516,Ademola Lookman,1997-10-20,1997-10-20,verified,TRUE,auto_keep_candidate
159142,Aderllan Santos,361710,Aderllan Santos,1989-04-09,1989-04-09,verified,TRUE,review
903213,Adi Kurti,1805110,Adi Kurti,2006-01-17,2006-01-17,verified,TRUE,needs_manual_team_check
569385,Adil Aouchiche,1047664,Adil Aouchiche,2002-07-15,2002-07-15,verified,TRUE,auto_keep_candidate
354173,Adil Demirbag,704664,Adil Demirbag,1997-12-10,1997-12-10,verified,TRUE,ambiguous_top_match
463617,Adil Taoui,1059861,Adil Taoui,2001-08-10,2001-08-10,verified,TRUE,ambiguous_top_match
52408,Adilson,1126176,Adilson,1987-01-16,1997-03-21,mismatch,FALSE,dob_mismatch
847772,Adilson Malanda,1218243,Adilson Malanda,2001-10-29,2001-10-29,verified,TRUE,auto_keep_candidate
177847,Adnan Januzaj,449241,Adnan Januzaj,1995-02-05,1995-02-05,verified,TRUE,auto_keep_candidate
409515,Adnan Ugur,1074937,Adnan Ugur,2001-06-28,2001-06-28,verified,TRUE,ambiguous_top_match
1157676,Adonija Ouanda,1893761,Adonija Ouanda,2005-04-30,2005-04-30,verified,TRUE,review
582987,Adrian Bajrami,1348741,Adrian Bajrami,2002-04-05,2002-04-05,verified,TRUE,auto_keep_candidate
273669,Adrian Beck,794393,Adrian Beck,1997-06-09,1997-06-09,verified,TRUE,auto_keep_candidate
454386,Adrian Benedyczak,920861,Adrian Benedyczak,2000-11-24,2000-11-24,verified,TRUE,ambiguous_top_match
875581,Adrian Blake,1365253,Adrian Blake,2005-07-15,2005-07-15,verified,TRUE,auto_keep_candidate
1205033,Adrian Damasiewicz,1784272,Adrian Damasiewicz,2008-09-09,2008-09-09,verified,TRUE,auto_keep_candidate
499196,Adrian Durrer,1232071,Adrian Durrer,2001-07-13,2001-07-13,verified,TRUE,needs_manual_team_check
877208,Adrian Fernandez,1928203,Adrian Fernandez,2001-05-20,2005-10-19,mismatch,FALSE,dob_mismatch
410870,Adrian Gantenbein,1179182,Adrian Gantenbein,2001-04-18,2001-04-18,verified,TRUE,auto_keep_candidate
167342,Adrian Grbic,659092,Adrian Grbic,1996-08-04,1996-08-04,verified,TRUE,auto_keep_candidate
1231993,Adrian Lahdo,1615459,Adrian Lahdo,2007-12-26,2007-12-26,verified,TRUE,auto_keep_candidate
1041316,Adrian Palacios,1413371,Adrian Palacios,2004-06-07,2004-06-07,verified,TRUE,review
507310,Adrian Pereira,842247,Adrian Pereira,1999-08-31,1999-08-31,verified,TRUE,auto_keep_candidate
1018395,Adrian Przyborek,1435833,Adrian Przyborek,2007-01-01,2007-01-01,verified,TRUE,auto_keep_candidate
867760,Adrian Segecic,1265460,Adrian Segecic,2004-06-01,2004-06-01,verified,TRUE,auto_keep_candidate
